ID	Taxonomy	16S-Behnsen-MY-1	16S-Behnsen-MY-10	16S-Behnsen-MY-11	16S-Behnsen-MY-12	16S-Behnsen-MY-13	16S-Behnsen-MY-14	16S-Behnsen-MY-15	16S-Behnsen-MY-16	16S-Behnsen-MY-17	16S-Behnsen-MY-18	16S-Behnsen-MY-19	16S-Behnsen-MY-2	16S-Behnsen-MY-20	16S-Behnsen-MY-21	16S-Behnsen-MY-22	16S-Behnsen-MY-23	16S-Behnsen-MY-24	16S-Behnsen-MY-25	16S-Behnsen-MY-26	16S-Behnsen-MY-27	16S-Behnsen-MY-28	16S-Behnsen-MY-29	16S-Behnsen-MY-3	16S-Behnsen-MY-30	16S-Behnsen-MY-31	16S-Behnsen-MY-32	16S-Behnsen-MY-33	16S-Behnsen-MY-34	16S-Behnsen-MY-35	16S-Behnsen-MY-36	16S-Behnsen-MY-37	16S-Behnsen-MY-38	16S-Behnsen-MY-39	16S-Behnsen-MY-4	16S-Behnsen-MY-40	16S-Behnsen-MY-41	16S-Behnsen-MY-42	16S-Behnsen-MY-43	16S-Behnsen-MY-44	16S-Behnsen-MY-45	16S-Behnsen-MY-46	16S-Behnsen-MY-47	16S-Behnsen-MY-48	16S-Behnsen-MY-49	16S-Behnsen-MY-5	16S-Behnsen-MY-50	16S-Behnsen-MY-51	16S-Behnsen-MY-52	16S-Behnsen-MY-53	16S-Behnsen-MY-54	16S-Behnsen-MY-55	16S-Behnsen-MY-56	16S-Behnsen-MY-57	16S-Behnsen-MY-58	16S-Behnsen-MY-59	16S-Behnsen-MY-6	16S-Behnsen-MY-60	16S-Behnsen-MY-61	16S-Behnsen-MY-62	16S-Behnsen-MY-63	16S-Behnsen-MY-64	16S-Behnsen-MY-65	16S-Behnsen-MY-66	16S-Behnsen-MY-67	16S-Behnsen-MY-68	16S-Behnsen-MY-69	16S-Behnsen-MY-7	16S-Behnsen-MY-8	16S-Behnsen-MY-9	16S-Negative-Control-sample2	16S-Negative-Ctrl-2-Underhill	16S-Positive-Ctrl-2-Underhill
ASV 37	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Staphylococcales ; f__ Staphylococcaceae ; g__ Staphylococcus ; s__ NA	3	314	385	1	2	1	0	8	6	2	23	5	7	3	2	4	6	4	0	0	1	1	0	0	2	1	0	5	174	23	61	24	50	0	0	1	3	2	1	197	32	32	712	236	0	557	12	0	17	1	2	0	0	23	123	1	4	16	45	0	0	2	4	20	8	2	343	116	366	0	0	0
ASV 38	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Rikenellaceae ; g__ Alistipes ; s__ NA	0	0	0	20	70	101	61	35	260	566	552	0	35	420	0	0	0	0	0	0	0	2	0	0	0	0	0	0	315	329	592	328	170	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 39	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Oscillospirales ; f__ [Eubacterium] coprostanoligenes group ; f__ [Eubacterium] coprostanoligenes group ; s__ NA	21	77	10	0	0	0	0	5	1	0	0	24	0	0	179	141	147	102	162	156	141	65	2	0	0	0	0	0	0	0	0	0	0	108	299	221	380	201	1230	0	0	0	1	0	0	0	0	0	19	0	0	0	0	0	0	29	0	0	3	0	0	0	0	0	0	0	9	8	88	0	0	0
ASV 40	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	0	6	2	8	2	14	8	12	12	1	31	6	28	18	34	31	24	71	97	64	1	178	258	205	204	190	4	1	1	2	9	18	164	145	220	124	177	11	2	2	185	135	6	87	16	182	286	13	0	73	21	95	74	21	0	0	5	0	2	57	4	65	14	3	0	0	0	0	1	0
ASV 41	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	829	0	0	0	1	0	4	0	81	0	0	605	0	0	0	0	1	1	0	1	0	2	415	0	0	0	0	0	0	0	1	0	0	530	1	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	0	0	0	0	556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 42	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Lachnospirales ; f__ Lachnospiraceae ; f__ Lachnospiraceae ; s__ NA	2	8	1	0	0	0	0	0	0	0	0	0	0	2	355	254	123	249	255	219	74	237	2	0	159	1	217	150	0	1	0	0	1	0	105	150	387	326	135	0	0	0	0	0	1	0	0	0	22	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	6	0	0	0
ASV 43	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; o__ Clostridia UCG-014 ; s__ NA	0	0	6	0	0	1	0	0	8	86	31	0	439	77	0	0	0	0	0	83	42	60	124	0	1	0	0	0	351	248	73	281	431	574	62	2	0	33	344	0	0	0	0	0	24	0	1	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV 44	k__Bacteria ; p__ Actinobacteriota ; c__ Coriobacteriia ; o__ Coriobacteriales ; f__ Eggerthellaceae ; g__ Adlercreutzia ; s__ equolifaciens	0	0	0	0	0	0	0	1	20	24	13	0	39	22	24	12	22	12	14	15	14	16	0	0	0	0	0	1	36	19	31	56	23	0	61	54	45	17	236	729	1069	757	2	1	9	0	0	0	5	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV 45	k__Bacteria ; p__ Bacteroidota ; c__ Bacteroidia ; o__ Bacteroidales ; f__ Muribaculaceae ; f__ Muribaculaceae ; s__ NA	146	0	0	353	282	299	491	278	50	0	0	240	0	0	0	0	0	0	0	0	0	27	281	0	0	0	1	0	0	0	0	1	0	322	0	0	0	0	0	0	0	0	1	0	260	0	0	0	0	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ASV 46	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Listeriaceae ; g__ Listeria ; s__ monocytogenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3277
ASV 47	k__Bacteria ; p__ Proteobacteria ; c__ Gammaproteobacteria ; o__ Burkholderiales ; f__ Sutterellaceae ; g__ Parasutterella ; s__ NA	70	8	0	97	62	85	116	86	59	79	32	40	93	46	87	134	160	135	105	94	154	178	48	29	35	6	8	15	75	79	197	137	27	53	46	51	47	61	107	0	0	0	24	0	57	0	0	0	3	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	9	5	15	0	0	0
ASV 48	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Lactobacillales ; f__ Lactobacillaceae ; g__ Lactobacillus ; s__ NA	0	0	1	0	0	0	0	1	203	248	200	0	354	306	1	1	0	1	2	0	0	0	1	0	1	0	0	1	325	358	361	486	255	0	0	1	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV 49	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Peptostreptococcales-Tissierellales ; f__ Peptostreptococcaceae ; g__ Romboutsia ; s__ NA	0	0	0	4	1	3	2	12	5	5	11	0	16	3	21	17	17	18	16	65	65	50	3	139	250	182	154	148	3	2	4	3	5	2	101	122	194	97	130	2	2	2	144	109	5	108	2	149	241	12	1	63	28	115	60	11	0	0	1	0	1	42	0	58	7	1	0	0	0	0	0	0
ASV 50	k__Bacteria ; p__ Firmicutes ; c__ Clostridia ; o__ Monoglobales ; f__ Monoglobaceae ; g__ Monoglobus ; s__ NA	0	8	10	106	739	964	121	590	149	6	2	0	8	3	1	0	0	0	0	0	0	38	1	0	0	0	0	0	55	12	14	78	57	0	0	0	1	0	0	0	0	0	1	0	21	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	14	8	5	0	0	0
ASV 51	k__Bacteria ; p__ Firmicutes ; c__ Bacilli ; o__ Erysipelotrichales ; f__ Erysipelotrichaceae ; g__ Turicibacter ; s__ NA	1	59	54	43	18	38	52	53	91	130	149	4	207	96	111	97	94	83	72	0	0	3	41	34	43	40	58	26	111	79	130	110	100	2	81	110	32	0	29	0	0	0	37	39	23	0	23	0	27	0	0	0	0	3	2	28	0	0	9	0	0	5	19	100	36	2	65	34	82	0	0	0
